                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.61419,                0.45284,                0.95368,                0.98351,                0.97376,                  0.989,                0.89885,                0.46272,                0.24348,                0.90255,               0.004654,               0.004654,               0.004654
                     57,                0.61614,                 0.4513,                0.95543,                0.98335,                0.97359,                0.98899,                0.89923,                0.46231,                0.24342,                0.90205,               0.004555,               0.004555,               0.004555
                     58,                0.61002,                0.44889,                0.95236,                0.98361,                0.97377,                0.98914,                0.89953,                0.46203,                0.24363,                0.90152,               0.004456,               0.004456,               0.004456
                     59,                0.60919,                0.44799,                0.95206,                0.98424,                0.97381,                0.98926,                0.89981,                0.46153,                0.24373,                0.90092,               0.004357,               0.004357,               0.004357
                     60,                 0.6096,                0.44648,                0.95064,                0.98439,                0.97391,                0.98929,                0.89978,                0.46119,                0.24381,                0.90047,               0.004258,               0.004258,               0.004258
                     61,                0.60754,                0.44319,                 0.9518,                0.98452,                0.97399,                0.98933,                0.89986,                0.46094,                 0.2436,                0.89993,               0.004159,               0.004159,               0.004159
                     62,                0.60661,                0.44028,                0.94995,                0.98491,                0.97404,                0.98944,                0.90023,                0.46072,                0.24389,                 0.8995,                0.00406,                0.00406,                0.00406
                     63,                0.60449,                0.43853,                0.94783,                0.98489,                0.97403,                0.98947,                 0.9006,                0.46016,                 0.2438,                0.89885,               0.003961,               0.003961,               0.003961
                     64,                0.60328,                0.43673,                0.94741,                0.98491,                0.97418,                0.98945,                0.90071,                0.45968,                0.24397,                0.89838,               0.003862,               0.003862,               0.003862
                     65,                0.60291,                0.43633,                0.94783,                0.98472,                0.97399,                0.98932,                0.90133,                0.45906,                0.24404,                0.89795,               0.003763,               0.003763,               0.003763
                     66,                0.60004,                0.43351,                0.94802,                0.98506,                0.97405,                0.98948,                0.90168,                0.45828,                0.24394,                0.89733,               0.003664,               0.003664,               0.003664
                     67,                0.59869,                0.43155,                0.94343,                0.98533,                0.97396,                0.98949,                0.90198,                0.45762,                0.24355,                0.89684,               0.003565,               0.003565,               0.003565
                     68,                0.59427,                0.42804,                0.94269,                0.98531,                0.97379,                0.98948,                 0.9024,                 0.4568,                0.24343,                0.89622,               0.003466,               0.003466,               0.003466
                     69,                0.59518,                0.42762,                0.94194,                0.98547,                0.97397,                0.98955,                0.90286,                0.45605,                 0.2429,                0.89569,               0.003367,               0.003367,               0.003367
                     70,                 0.5928,                0.42561,                0.94249,                0.98531,                0.97425,                0.98963,                0.90307,                0.45539,                0.24198,                0.89522,               0.003268,               0.003268,               0.003268
                     71,                0.58837,                0.42022,                0.94047,                0.98517,                0.97371,                0.98929,                0.90325,                0.45485,                0.24092,                0.89487,               0.003169,               0.003169,               0.003169
                     72,                0.59054,                0.42378,                0.94142,                0.98557,                0.97391,                0.98938,                0.90329,                0.45439,                0.23959,                0.89471,                0.00307,                0.00307,                0.00307
                     73,                0.58894,                0.41794,                 0.9414,                0.98549,                0.97407,                0.98946,                0.90405,                 0.4536,                0.23813,                0.89397,               0.002971,               0.002971,               0.002971
                     74,                0.58358,                0.41449,                0.93823,                0.98553,                0.97402,                0.98949,                 0.9044,                0.45278,                0.23674,                0.89352,               0.002872,               0.002872,               0.002872
                     75,                0.58497,                0.41598,                0.93969,                0.98572,                0.97455,                0.98987,                0.90456,                0.45228,                0.23501,                 0.8932,               0.002773,               0.002773,               0.002773
                     76,                0.58433,                0.41342,                0.93834,                0.98556,                0.97508,                0.98962,                 0.9048,                0.45167,                0.23337,                0.89265,               0.002674,               0.002674,               0.002674
                     77,                0.57798,                0.40954,                 0.9342,                0.98533,                0.97542,                0.98971,                0.90473,                0.45107,                0.23197,                0.89207,               0.002575,               0.002575,               0.002575
                     78,                0.57847,                0.40788,                 0.9347,                 0.9853,                 0.9751,                0.98984,                0.90582,                0.45049,                0.23069,                0.89162,               0.002476,               0.002476,               0.002476
                     79,                0.57586,                0.40454,                0.93572,                0.98538,                0.97517,                0.98988,                0.90605,                0.45012,                0.22914,                0.89154,               0.002377,               0.002377,               0.002377
                     80,                0.57419,                0.40223,                0.93462,                0.98529,                0.97525,                0.98994,                0.90619,                0.44967,                 0.2279,                 0.8912,               0.002278,               0.002278,               0.002278
                     81,                0.57105,                0.40158,                 0.9316,                0.98594,                0.97454,                   0.99,                 0.9065,                0.44884,                0.22671,                0.89041,               0.002179,               0.002179,               0.002179
                     82,                0.56889,                0.39907,                0.93266,                0.98551,                0.97483,                0.99004,                0.90686,                0.44827,                0.22555,                0.88996,                0.00208,                0.00208,                0.00208
                     83,                0.56933,                 0.3993,                0.93217,                 0.9857,                0.97498,                0.99011,                0.90713,                0.44777,                0.22481,                0.88958,               0.001981,               0.001981,               0.001981
                     84,                0.56677,                0.39614,                0.93177,                0.98564,                0.97515,                 0.9901,                0.90749,                0.44733,                0.22411,                0.88922,               0.001882,               0.001882,               0.001882
                     85,                0.56347,                0.38792,                0.92925,                0.98527,                0.97579,                0.99019,                0.90782,                0.44683,                0.22354,                 0.8888,               0.001783,               0.001783,               0.001783
                     86,                0.56021,                0.38829,                0.92776,                0.98544,                0.97587,                0.99023,                0.90779,                0.44638,                0.22289,                0.88845,               0.001684,               0.001684,               0.001684
                     87,                0.55713,                0.38729,                0.92572,                0.98495,                0.97654,                0.99029,                0.90817,                0.44596,                0.22214,                0.88803,               0.001585,               0.001585,               0.001585
                     88,                0.55743,                0.38367,                0.92764,                0.98571,                0.97636,                0.99059,                0.90835,                0.44558,                0.22153,                0.88769,               0.001486,               0.001486,               0.001486
                     89,                0.55415,                0.38101,                0.92585,                0.98592,                0.97609,                0.99035,                0.90818,                0.44509,                0.22091,                0.88726,               0.001387,               0.001387,               0.001387
                     90,                0.55152,                 0.3787,                0.92317,                0.98593,                0.97618,                0.99036,                0.90888,                0.44451,                0.22035,                0.88676,               0.001288,               0.001288,               0.001288
